	HM (final predictions) 	worker dbscan predictions	soldier dbscan predictions	Soldier morph from literature	Worker morph from literature	Citations
Pseudacanthotermes militaris	4	1	2	2	2	"Sands, 1998"
Nasutitermes novarumhebridarum	3	1	1	1	2	"Roisin & pasteels, 1987"
Tenuirostritermes tenuirostris	3	1	1	1	2	"Noirot, 1955"
Constrictotermes cyphergaster	3	1	1	1	2	"Moura et al,  2011"
Prorhinotermes inopinatus	2	1	1	1	1	"Roisin, 1988"
Mastotermes darwiniensis	2	1	1	1	1	"Roisin, 2000"
Psammotermes hybostoma	4	1	1	3	3	"bourguignon et al, 2012"
Hospitalitermes hospitalis	3	1	1	1	2	"Miura et al, 1998"
Thoracotermes macrothorax	3	1	1	1	2	"Noirot, 1955"
Termitogeton planus	2	1	1	1	1	"Parmentier & Roisin, 2003"
Anoplotermes pacificus	1	1	0	0	1	"Bourguignon et al, 2016"
Kalotermes flavicollis	2	1	1	1	1	"Roisin, 2000"
Anacanthotermes ochraceus	2	1	1	1	1	"Roisin, 2000"
Noditermes indoensis	2	1	1	1	1	"Noirot, 1955"
Zootermopsis nevadensis	2	1	1	1	1	"Heath, 1927"
Reticulitermes lucifugus	2	1	1	1	1	"Laine & Wright, 2003"
Reticulitermes flavipes	2	1	1	1	1	"Laine & Wright, 2003"
Acidnotermes praus	1	1	0	0	1	"Sands, 1998"
Apicotermes tragardhi	2	1	1	1	1	"Sands, 1998"
Astalotermes brevior	1	1	0	0	1	"Sands, 1998"
Baucaliotermes hainesi	2	1	1	1	2	"Sands, 1998"
Cephalotermes rectangularis	2	1	1	1	2	"Sands, 1998"
Calcaritermes emarginicollis	3	2	1	/	/	predicted based on being a wood-dweller
Heterotermes tenuior	2	1	1	1	1	"Sands, 1998"
Incisitermes milleri	2	1	1	1	1	predicted based on  being a wood-dweller
Labiotermes labralis	2	1	1	1	1	"Emerson, 1965"
Marginitermes hubbardi	2	1	1	1	1	predicted based on being a wood-dweller
Paraneotermes simplicornis	2	1	1	1	1	predicted based on being a wood-dweller
Porotermes adamsoni	2	1	1	1	1	predicted based on being a wood-dweller
Postelectrotermes militaris	2	1	1	1	1	predicted based on being a wood-dweller
Procryptotermes falcifer	2	1	1	1	1	predicted based on being a wood-dweller
Pterotermes occidentis	2	/	1	1	1	predicted based on being a wood-dweller
Stolotermes victoriensis	2	1	1	1	1	predicted based on being a wood-dweller
Syntermes grandis	3	2	1	1	2	"Roisin, 2000"
Astalotermes quietus	1	3	0	0	1	"Sands, 1998"
Bulbitermes singaporiensis	2	1	1	1	2	"genus, Lommen, 2004"
Bulbitermes perpusillus	2	1	1	1	2	"genus, Lommen, 2004"
Dicuspiditermes nemorosus	2	1	1	1	1	"Krishna, 2001"
Cryptotermes brevis	2	1	1	1	1	"genus, Korb et al, 2009"
Cryptotermes domesticus	2	1	1	1	1	"genus, Korb et al, 2009"
Cryptotermes cynocephalus	2	1	1	1	1	"genus, Korb et al, 2009"
Ancistrotermes crucifer	4	1	3	2	2	"Noirot, 1955"
Ancistrotermes cavithorax	4	2	2	2	2	"genus, Noirot, 1955"
Ancistrotermes latinotus	4	2	1	2	2	"genus, Noirot, 1955"
Bifiditermes durbanensis	2	1	1	1	1	predicted based on being a wood-dweller
Bifiditermes mutabae	2	1	1	1	1	predicted based on being a wood-dweller
Bifiditermes sibayensis	2	1	1	1	1	predicted based on being a wood-dweller
Glyptotermes brevicaudatus	2	2	1	1	1	predicted based on being a wood-dweller
Glyptotermes brevicornis	2	/	1	1	1	predicted based on being a wood-dweller
Glyptotermes ueleensis	2	1	1	1	1	predicted based on being a wood-dweller
Neotermes sanctaecrucis	2	1	1	1	1	"Roisin & Pasteels, 1991"
Neotermes aburiensis	2	1	1	1	1	"Roisin & Pasteels, 1991"
Neotermes camerunensis	2	1	1	1	1	"Roisin & Pasteels, 1991"
Pericapritermes dolichocephalus	2	1	1	1	1	"genus, Noirot, 1955"
Pericapritermes nigerianus	2	1	1	1	1	"genus, Noirot, 1955"
Pericapritermes nitobei	2	1	1	1	1	"genus, Noirot, 1955"
Trinervitermes bettonianus	4	1	2	2	2	"Noirot, 1955"
Trinervitermes trinervius	4	2	2	2	2	"Noirot, 1955"
Trinervitermes dispar	4	1	2	2	2	"genus, Noirot, 1955"
Amitermes meridionalis	2	1	1	1	2	"Noirot & Pasteels, 1987"
Amitermes laurensis	3	2	1	1	2	"Noirot & Pasteels, 1987"
Amitermes beaumonti	2	1	1	1	2	"Noirot & Pasteels, 1987"
Amitermes evuncifer	2	1	1	1	2	"Noirot, 1955"
Amitermes dentatus	3	1	1	1	2	"Noirot & Pasteels, 1987"
Microtermes magnocellus	3	1	1	1	2	"genus, Noirot, 1955"
Microtermes traghardi	3	1	1	1	2	"genus, Noirot, 1955"
Microtermes subhyalinus	3	2	1	1	2	"genus, Noirot, 1955"
