"","HF","FT","HW","id"
"1","1.229","1.075","1.748","Pseudacanthotermes militaris Worker"
"2","0.848","1.071","1.711","Pseudacanthotermes militaris Worker"
"3","0.901","1.072","1.604","Pseudacanthotermes militaris Worker"
"4","0.637","0.515","0.939","Pseudacanthotermes militaris Worker"
"5","1.13","0.926","1.773","Pseudacanthotermes militaris Worker"
"6","1.099","0.723","1.529","Pseudacanthotermes militaris Worker"
"7","1.114","0.846","0.747","Pseudacanthotermes militaris Worker"
"8","1.01","0.906","0.709","Pseudacanthotermes militaris Worker"
"9","1.407","1.015","na","Pseudacanthotermes militaris Worker"
"10","1.269","0.69","na","Pseudacanthotermes militaris Worker"
"11","0.871","0.552","1.71","Pseudacanthotermes militaris Worker"
"12","0.872","0.982","1.687","Pseudacanthotermes militaris Worker"
"13","0.855","0.848","1.021","Pseudacanthotermes militaris Worker"
"14","0.722","0.758","0.849","Pseudacanthotermes militaris Worker"
"15","0.9","0.811","na","Pseudacanthotermes militaris Worker"
"16","1.228","na","1.717","Pseudacanthotermes militaris Worker"
"17","0.826","0.393","0.844","Pseudacanthotermes militaris Worker"
"18","0.835","1.122","1.611","Pseudacanthotermes militaris Worker"
"19","1.004","0.767","1.093","Pseudacanthotermes militaris Worker"
"20","1.13","0.869","na","Pseudacanthotermes militaris Worker"
"21","0.942","0.811","1.124","Pseudacanthotermes militaris Worker"
"22","1.282","na","1.825","Pseudacanthotermes militaris Worker"
"23","na","1.108","1.78","Pseudacanthotermes militaris Worker"
"24","na","0.131","1.727","Pseudacanthotermes militaris Worker"
"25","1.113","1.347","1.968","Pseudacanthotermes militaris Worker"
"26","1.074","1.095","1.27","Pseudacanthotermes militaris Worker"
"27","1.021","1","1.528","Pseudacanthotermes militaris Worker"
"28","1.156","1.116","0.977","Pseudacanthotermes militaris Worker"
"29","1.225","0.762","1.569","Pseudacanthotermes militaris Worker"
"30","1.212","1.129","1.958","Pseudacanthotermes militaris Worker"
"31","0.974","1.035","1.25","Pseudacanthotermes militaris Soldier"
"32","0.835","1.379","1.339","Pseudacanthotermes militaris Soldier"
"33","1.229","1.125","1.398","Pseudacanthotermes militaris Soldier"
"34","0.885","0.777","na","Pseudacanthotermes militaris Soldier"
"35","1.018","0.863","na","Pseudacanthotermes militaris Soldier"
"36","1.036","1.083","1.199","Pseudacanthotermes militaris Soldier"
"37","1.321","0.938","1.181","Pseudacanthotermes militaris Soldier"
"38","0.509","1.174","1.228","Pseudacanthotermes militaris Soldier"
"39","1.439","na","1.407","Pseudacanthotermes militaris Soldier"
"40","1.317","1.344","na","Pseudacanthotermes militaris Soldier"
"41","1.888","na","2.607","Pseudacanthotermes militaris Soldier"
"42","1.619","1.418","2.006","Pseudacanthotermes militaris Soldier"
"43","1.449","na","2.155","Pseudacanthotermes militaris Soldier"
"44","1.49","1.385","1.893","Pseudacanthotermes militaris Soldier"
"45","1.626","na","2.595","Pseudacanthotermes militaris Soldier"
"46","1.728","1.659","2.402","Pseudacanthotermes militaris Soldier"
"47","1.893","na","1.963","Pseudacanthotermes militaris Soldier"
"48","1.562","na","1.896","Pseudacanthotermes militaris Soldier"
