,HM,NC,CS,WF,OS
Pseudacanthotermes_militaris,4,2,4,1,1
Nasutitermes_novarumhebridarum,3,1,3,1,0
Tenuirostritermes_tenuirostris,3,1,4,1,1
Constrictotermes_cyphergaster,3,2,6,1,1
Prorhinotermes_inopinatus,2,0,4,0,0
Mastotermes_darwiniensis,2,2,7,1,0
Psammotermes_hybostoma,4,1,6,0,0
Hospitalitermes_hospitalis,3,2,5,1,1
Thoracotermes_macrothorax,3,2,5,1,1
Termitogeton_planus,2,0,3,0,0
Anoplotermes_pacificus,1,2,4,1,1
Kalotermes_flavicollis,2,0,3,0,0
Anacanthotermes_ochraceus,2,1,3,1,1
Noditermes_indoensis,2,2,5,1,1
Zootermopsis_nevadensis,2,0,4,0,0
Reticulitermes_lucifugus,2,1,5,1,0
Reticulitermes_flavipes,2,1,7,1,0
Acidnotermes_praus,1,0,4,1,1
Apicotermes_tragardhi,2,1,4,1,1
Astalotermes_brevior,1,0,4,1,1
Baucaliotermes_hainesi,2,2,5,1,1
Cephalotermes_rectangularis,2,2,5,1,1
Calcaritermes_emarginicollis,3,0,3,0,0
Heterotermes_tenuior,2,1,5,1,0
Incisitermes_milleri,2,0,3,0,0
Labiotermes_labralis,2,2,5,1,1
Marginitermes_hubbardi,2,0,3,0,0
Paraneotermes_simplicornis,2,0,3,0,0
Porotermes_adamsoni,2,0,4,0,0
Postelectrotermes_militaris,2,0,3,0,0
Procryptotermes_falcifer,2,0,4,0,0
Pterotermes_occidentis,2,0,4,0,0
Stolotermes_victoriensis,2,0,3,0,0
Syntermes_grandis,3,2,4,1,1
Astalotermes_quietus,1,2,4,1,1
Bulbitermes_singaporiensis,2,2,5,1,1
Bulbitermes_perpusillus,2,2,5,1,1
Dicuspiditermes_nemorosus,2,2,5,1,1
Cryptotermes_brevis,2,0,2,0,0
Cryptotermes_domesticus,2,0,3,0,0
Cryptotermes_cynocephalus,2,0,3,0,0
Ancistrotermes_crucifer,4,1,4,1,1
Ancistrotermes_cavithorax,4,1,4,1,1
Ancistrotermes_latinotus,4,1,4,1,1
Bifiditermes_durbanensis,2,0,3,0,0
Bifiditermes_mutabae,2,0,3,0,0
Bifiditermes_sibayensis,2,0,3,0,0
Glyptotermes_brevicaudatus,2,0,3,0,0
Glyptotermes_brevicornis,2,0,3,0,0
Glyptotermes_ueleensis,2,0,3,0,0
Neotermes_sanctaecrucis,2,0,3,0,0
Neotermes_aburiensis,2,0,3,0,0
Neotermes_camerunensis,2,0,3,0,0
Pericapritermes_dolichocephalus,2,2,5,1,1
Pericapritermes_nigerianus,2,2,5,1,1
Pericapritermes_nitobei,2,2,5,1,1
Trinervitermes_bettonianus,4,2,5,1,0
Trinervitermes_trinervius,4,2,5,1,1
Trinervitermes_dispar,4,2,4,1,1
Amitermes_meridionalis,2,2,4,1,1
Amitermes_laurensis,3,2,5,1,1
Amitermes_beaumonti,2,2,4,1,1
Amitermes_evuncifer,2,2,4,1,1
Amitermes_dentatus,3,2,5,1,1
Microtermes_magnocellus,3,1,4,1,1
Microtermes_traghardi,3,1,4,1,1
Microtermes_subhyalinus,3,1,4,1,1
Microtermes_alluaudanus,3,1,4,1,1
Odontotermes_sarawakensis,2,2,5,1,1
Odontotermes_badius,3,2,5,1,1
Odontotermes_transvaalensis,3,2,5,1,1
Odontotermes_zambesiensis,3,2,5,1,1
Coptotermes_acinaciformis,2,2,6,1,0
Coptotermes_sjostedti,2,1,6,1,0
Coptotermes_testaceus,2,1,6,1,0
Coptotermes_truncatus,2,1,6,1,0
Coptotermes_curvignathus,2,1,6,1,0
Macrotermes_michaelseni,4,2,7,1,1
Macrotermes_gilvus,4,2,6,1,1
Macrotermes_carbonarius,4,2,5,1,1
Macrotermes_natalensis,4,2,6,1,1
Macrotermes_bellicosus,4,2,6,1,1
Nasutitermes_arborum,2,2,4,1,1
Nasutitermes_elegantulus,2,2,6,1,0
Nasutitermes_matangensis,2,2,6,1,0
Nasutitermes_corniger,2,2,5,1,0
Cubitermes_glebae,2,2,4,1,0
Cubitermes_oculatus,2,2,4,1,0
Cubitermes_serverus,2,2,5,1,0
Cubitermes_inclitus,2,2,5,1,0
Cubitermes_tenuiceps,2,2,5,1,0
Microcerotermes_fuscotibialis,2,2,4,1,1
Microcerotermes_edentatus,2,2,4,1,1
Microcerotermes_parvus,2,1,4,1,1
Microcerotermes_Serrula,2,2,4,1,0
Microcerotermes_strunckii,2,2,4,1,0
Neocapritermes_parvus,2,1,5,1,0
Neocapritermes_opacus,2,1,5,1,0
Neocapritermes_utiariti,2,2,5,1,0
